1,3.0,,4,5.0,,3,7.3,,9,8.2,,2,12.0,,8,12.0,,10,13.0,,5,15.0,,7,19.0,,6,23.0,,11,31.0
4,2.2,,1,2.2,,1,3.5,,1,5.8,,1,6.9,,2,10.0,,1,15.0,,1,7.6,,3,10.0,,1,22.0,,1,27.0
3,3.5,,3,4.3,,4,4.3,,4,6.0,,8,10.0,,1,13.0,,3,18.0,,4,8.0,,1,13.0,,3,26.0,,4,37.0
9,5.8,,9,6.0,,9,7.4,,3,7.4,,4,13.0,,4,16.0,,4,20.0,,9,12.0,,4,20.0,,9,28.0,,9,43.0
2,6.9,,5,8.0,,7,10.0,,5,12.0,,9,19.0,,3,18.0,,9,26.0,,3,14.0,,9,26.0,,4,30.0,,3,48.0
5,7.6,,2,13.0,,5,14.0,,2,19.0,,5,20.0,,9,25.0,,5,30.0,,2,20.0,,2,41.0,,8,31.0,,10,53.0
7,13.0,,8,16.0,,8,18.0,,8,25.0,,3,23.0,,5,30.0,,2,39.0,,8,30.0,,5,42.0,,2,33.0,,5,70.0
8,13.0,,7,20.0,,10,18.0,,7,26.0,,6,33.0,,6,31.0,,7,45.0,,10,30.0,,10,45.0,,5,48.0,,7,71.0
10,15.0,,10,20.0,,2,23.0,,10,26.0,,10,39.0,,10,48.0,,8,48.0,,7,42.0,,8,52.0,,10,52.0,,2,72.0
6,22.0,,6,30.0,,6,26.0,,6,28.0,,7,41.0,,7,52.0,,6,52.0,,6,48.0,,6,55.0,,7,55.0,,8,77.0
11,27.0,,11,37.0,,11,48.0,,11,43.0,,11,72.0,,11,77.0,,11,53.0,,11,70.0,,11,71.0,,11,90.0,,6,90.0
